artist.id,artist.fc,first.movement.era.id,first.movement.era.name,first.movement.id,first.movement.name,second.movement.era.id,second.movement.era.name,second.movement.id,second.movement.name
2103,Paule Vézelay,8,20th century 1900-1945,16667,Abstraction-Création,8,20th century 1900-1945,320,Surrealism
2103,Paule Vézelay,8,20th century 1900-1945,320,Surrealism,8,20th century 1900-1945,298,Constructivism
570,Antonio Verrio,289,16th and 17th century,398,Baroque,289,16th and 17th century,403,"Italian-trained, working in Britain"
565,Sir Anthony Van Dyck,289,16th and 17th century,400,Court,289,16th and 17th century,398,Baroque
565,Sir Anthony Van Dyck,289,16th and 17th century,398,Baroque,289,16th and 17th century,406,"Netherlands-trained, working in Britain"
565,Sir Anthony Van Dyck,289,16th and 17th century,406,"Netherlands-trained, working in Britain",289,16th and 17th century,412,Early Stuart
2094,Georges Vantongerloo,8,20th century 1900-1945,1686,De Stijl,8,20th century 1900-1945,16667,Abstraction-Création
2094,Georges Vantongerloo,8,20th century 1900-1945,16667,Abstraction-Création,8,20th century 1900-1945,6277,Neo-Plasticism
2094,Georges Vantongerloo,8,20th century 1900-1945,6277,Neo-Plasticism,8,20th century 1900-1945,298,Constructivism
567,Paul Van Somer,289,16th and 17th century,400,Court,289,16th and 17th century,406,"Netherlands-trained, working in Britain"
567,Paul Van Somer,289,16th and 17th century,406,"Netherlands-trained, working in Britain",289,16th and 17th century,412,Early Stuart
2096,Keith Vaughan,8,20th century 1900-1945,312,Neo-Romanticism,8,20th century 1900-1945,9312,London Group
569,John Varley,290,18th century,345,Picturesque,350,19th century,364,Romanticism
1518,Jacques Lipchitz,8,20th century 1900-1945,1664,Purism,8,20th century 1900-1945,299,Cubism
331,Henry Herbert La Thangue,350,19th century,365,Rural Naturalism,350,19th century,6196,British Impressionism
331,Henry Herbert La Thangue,350,19th century,6196,British Impressionism,350,19th century,8064,Victorian/Genre
331,Henry Herbert La Thangue,350,19th century,8064,Victorian/Genre,350,19th century,360,Newlyn School
1467,Peter Lanyon,8,20th century 1900-1945,298,Constructivism,415,20th century post-1945,441,St Ives School
347,George Dunlop Leslie,350,19th century,366,St John's Wood Clique,350,19th century,8064,Victorian/Genre
1494,Julio Le Parc,415,20th century post-1945,435,Optical Art,415,20th century post-1945,12072,Kinetic Art
351,John Linnell,290,18th century,345,Picturesque,350,19th century,368,Shoreham / The Ancients
351,John Linnell,350,19th century,368,Shoreham / The Ancients,350,19th century,8064,Victorian/Genre
1504,Sol LeWitt,415,20th century post-1945,430,Minimalism,415,20th century post-1945,421,Conceptual Art
342,"Frederic, Lord Leighton",350,19th century,351,Aesthetic Movement,350,19th century,361,New Sculpture
1502,Wyndham Lewis,8,20th century 1900-1945,322,Vorticism,8,20th century 1900-1945,309,Group X
2643,Sarah Lucas,415,20th century post-1945,16666,Abject art,415,20th century post-1945,12081,Feminist Art
2643,Sarah Lucas,415,20th century post-1945,12081,Feminist Art,415,20th century post-1945,11857,Young British Artists (YBA)
343,Sir Peter Lely,289,16th and 17th century,413,Later Stuart,289,16th and 17th century,398,Baroque
343,Sir Peter Lely,289,16th and 17th century,398,Baroque,289,16th and 17th century,399,Civil War and Commonwealth
343,Sir Peter Lely,289,16th and 17th century,399,Civil War and Commonwealth,289,16th and 17th century,406,"Netherlands-trained, working in Britain"
343,Sir Peter Lely,289,16th and 17th century,406,"Netherlands-trained, working in Britain",289,16th and 17th century,411,Restoration
343,Sir Peter Lely,289,16th and 17th century,411,Restoration,289,16th and 17th century,400,Court
1470,John Latham,415,20th century post-1945,421,Conceptual Art,415,20th century post-1945,13001,Artist Placement Group
1525,Richard Long,415,20th century post-1945,429,Land Art,415,20th century post-1945,421,Conceptual Art
1473,Henri Laurens,8,20th century 1900-1945,1685,Return to Order,8,20th century 1900-1945,299,Cubism
1036,Marcel Duchamp,8,20th century 1900-1945,300,Dada,8,20th century 1900-1945,299,Cubism
145,Philip James De Loutherbourg,290,18th century,345,Picturesque,290,18th century,349,Sublime
995,Gunter Demnig,415,20th century post-1945,421,Conceptual Art,415,20th century post-1945,436,Performance Art
995,Gunter Demnig,415,20th century post-1945,436,Performance Art,415,20th century post-1945,12072,Kinetic Art
902,Giorgio de Chirico,8,20th century 1900-1945,320,Surrealism,8,20th century 1900-1945,12734,Metaphysical Art
902,Giorgio de Chirico,8,20th century 1900-1945,12734,Metaphysical Art,8,20th century 1900-1945,16138,Scuola Romana
998,André Derain,8,20th century 1900-1945,306,Fauvism,8,20th century 1900-1945,1685,Return to Order
998,André Derain,8,20th century 1900-1945,1685,Return to Order,8,20th century 1900-1945,311,Modern Realism
2292,Michael Dahl,289,16th and 17th century,413,Later Stuart,289,16th and 17th century,12493,"Swedish-trained, working in Britain"
153,William Dobson,289,16th and 17th century,399,Civil War and Commonwealth,289,16th and 17th century,412,Early Stuart
997,Robyn Denny,415,20th century post-1945,442,Situation,415,20th century post-1945,443,Tachisme
1385,Stanislawa De Karlowska,8,20th century 1900-1945,297,Camden Town Group,8,20th century 1900-1945,9312,London Group
1035,Jean Dubuffet,415,20th century post-1945,8454,Art Informel,8,20th century 1900-1945,16669,Art Brut
1026,Gianni Dova,415,20th century post-1945,4156,Arte Nucleare,415,20th century post-1945,4246,Spazialismo
992,Robert Delaunay,8,20th century 1900-1945,299,Cubism,8,20th century 1900-1945,314,Orphic Cubism
2164,Wols (Alfred Otto Wolfgang Schulze),415,20th century post-1945,8454,Art Informel,415,20th century post-1945,443,Tachisme
606,Richard Wilson,290,18th century,342,Grand Tour,290,18th century,349,Sublime
606,Richard Wilson,290,18th century,349,Sublime,290,18th century,6210,Grand Manner
606,Richard Wilson,290,18th century,6210,Grand Manner,290,18th century,345,Picturesque
586,George Frederic Watts,350,19th century,351,Aesthetic Movement,350,19th century,16649,Symbolism
615,Joseph Wright of Derby,350,19th century,364,Romanticism,290,18th century,349,Sublime
578,Henry Wallis,350,19th century,363,Pre-Raphaelite,350,19th century,364,Romanticism
575,Frederick Walker,350,19th century,8064,Victorian/Genre,350,19th century,366,St John's Wood Clique
577,Alfred Wallis,415,20th century post-1945,441,St Ives School,8,20th century 1900-1945,1690,Naive
594,Benjamin West,290,18th century,6210,Grand Manner,290,18th century,344,Neo-Classicism
614,John Michael Wright,289,16th and 17th century,411,Restoration,289,16th and 17th century,413,Later Stuart
600,Sir David Wilkie,350,19th century,5866,Orientalist,350,19th century,8064,Victorian/Genre
2130,John Wells,415,20th century post-1945,441,St Ives School,8,20th century 1900-1945,298,Constructivism
2113,Edward Wadsworth,8,20th century 1900-1945,321,Unit One,8,20th century 1900-1945,322,Vorticism
2113,Edward Wadsworth,8,20th century 1900-1945,322,Vorticism,8,20th century 1900-1945,1688,British Surrealism
2113,Edward Wadsworth,8,20th century 1900-1945,1688,British Surrealism,8,20th century 1900-1945,16667,Abstraction-Création
598,James Abbott McNeill Whistler,350,19th century,351,Aesthetic Movement,350,19th century,6196,British Impressionism
1722,Dennis Oppenheim,415,20th century post-1945,436,Performance Art,415,20th century post-1945,1680,Body Art
1722,Dennis Oppenheim,415,20th century post-1945,1680,Body Art,415,20th century post-1945,422,Environmental Art
1722,Dennis Oppenheim,415,20th century post-1945,422,Environmental Art,415,20th century post-1945,429,Land Art
837,Edward Burra,8,20th century 1900-1945,1688,British Surrealism,8,20th century 1900-1945,321,Unit One
2351,Louise Bourgeois,415,20th century post-1945,16666,Abject art,415,20th century post-1945,12081,Feminist Art
24,James Barry,290,18th century,344,Neo-Classicism,290,18th century,6210,Grand Manner
56,British School 16th century,289,16th and 17th century,408,Post-Reformation,289,16th and 17th century,414,Tudor
68,"Sir Edward Coley Burne-Jones, Bt",350,19th century,16649,Symbolism,350,19th century,363,Pre-Raphaelite
813,Stuart Brisley,415,20th century post-1945,13001,Artist Placement Group,415,20th century post-1945,436,Performance Art
813,Stuart Brisley,415,20th century post-1945,436,Performance Art,415,20th century post-1945,1680,Body Art
747,Joseph Beuys,415,20th century post-1945,423,Fluxus,415,20th century post-1945,422,Environmental Art
747,Joseph Beuys,415,20th century post-1945,422,Environmental Art,415,20th century post-1945,421,Conceptual Art
747,Joseph Beuys,415,20th century post-1945,421,Conceptual Art,415,20th century post-1945,1684,Actionism
747,Joseph Beuys,415,20th century post-1945,1684,Actionism,415,20th century post-1945,436,Performance Art
747,Joseph Beuys,415,20th century post-1945,436,Performance Art,415,20th century post-1945,429,Land Art
706,Lothar Baumgarten,415,20th century post-1945,422,Environmental Art,415,20th century post-1945,421,Conceptual Art
57,British School 17th century,289,16th and 17th century,413,Later Stuart,289,16th and 17th century,411,Restoration
57,British School 17th century,289,16th and 17th century,411,Restoration,289,16th and 17th century,414,Tudor
57,British School 17th century,289,16th and 17th century,414,Tudor,289,16th and 17th century,409,Regional
57,British School 17th century,289,16th and 17th century,409,Regional,289,16th and 17th century,412,Early Stuart
827,Günter Brus,415,20th century post-1945,436,Performance Art,415,20th century post-1945,1684,Actionism
20,Francis Barlow,289,16th and 17th century,413,Later Stuart,289,16th and 17th century,411,Restoration
763,Peter Blake,415,20th century post-1945,1683,British Pop,415,20th century post-1945,440,"Ruralists, Brotherhood of"
803,Georges Braque,8,20th century 1900-1945,1685,Return to Order,8,20th century 1900-1945,299,Cubism
51,Frank Bramley,350,19th century,8064,Victorian/Genre,350,19th century,360,Newlyn School
46,Henry Alexander Bowler,350,19th century,8064,Victorian/Genre,350,19th century,363,Pre-Raphaelite
3094,Clive Branson,8,20th century 1900-1945,293,Artists International Association,8,20th century 1900-1945,1688,British Surrealism
3094,Clive Branson,8,20th century 1900-1945,1688,British Surrealism,8,20th century 1900-1945,10525,British War Art
838,Alberto Burri,415,20th century post-1945,9378,Origine group,415,20th century post-1945,8454,Art Informel
699,Georg Baselitz,415,20th century post-1945,431,Neo-Expressionism,415,20th century post-1945,432,Neue Wilden
716,Aubrey Beardsley,350,19th century,16649,Symbolism,350,19th century,16650,Decadence
716,Aubrey Beardsley,350,19th century,16650,Decadence,350,19th century,16670,Art Nouveau
716,Aubrey Beardsley,350,19th century,16670,Art Nouveau,350,19th century,16651,Fin de Siècle
777,David Bomberg,8,20th century 1900-1945,10525,British War Art,8,20th century 1900-1945,322,Vorticism
555,Henry Scott Tuke,350,19th century,360,Newlyn School,350,19th century,8064,Victorian/Genre
550,Sir James Thornhill,289,16th and 17th century,398,Baroque,290,18th century,344,Neo-Classicism
2046,Jean Tinguely,415,20th century post-1945,17573,Auto-Destructive art,415,20th century post-1945,434,Nouveau Réalisme
2046,Jean Tinguely,415,20th century post-1945,434,Nouveau Réalisme,415,20th century post-1945,12072,Kinetic Art
2037,George Thomson,350,19th century,6196,British Impressionism,350,19th century,359,New English Art Club
558,Joseph Mallord William Turner,290,18th century,349,Sublime,290,18th century,345,Picturesque
558,Joseph Mallord William Turner,290,18th century,345,Picturesque,350,19th century,364,Romanticism
2075,William Turnbull,415,20th century post-1945,424,Geometry of Fear,415,20th century post-1945,425,Independent Group
623,Vito Acconci,415,20th century post-1945,421,Conceptual Art,415,20th century post-1945,436,Performance Art
669,Richard Artschwager,415,20th century post-1945,430,Minimalism,415,20th century post-1945,437,Pop Art
2411,Robert Adam,290,18th century,345,Picturesque,350,19th century,364,Romanticism
666,Keith Arnatt,415,20th century post-1945,429,Land Art,415,20th century post-1945,421,Conceptual Art
666,Keith Arnatt,415,20th century post-1945,421,Conceptual Art,415,20th century post-1945,436,Performance Art
665,John Armstrong,8,20th century 1900-1945,10525,British War Art,8,20th century 1900-1945,1688,British Surrealism
648,Carl Andre,415,20th century post-1945,421,Conceptual Art,415,20th century post-1945,430,Minimalism
628,Robert Adams,415,20th century post-1945,424,Geometry of Fear,415,20th century post-1945,419,British Constructivism
636,Josef Albers,415,20th century post-1945,439,Post Painterly Abstraction,8,20th century 1900-1945,294,Bauhaus
667,Jean Arp (Hans Arp),8,20th century 1900-1945,300,Dada,8,20th century 1900-1945,16667,Abstraction-Création
667,Jean Arp (Hans Arp),8,20th century 1900-1945,16667,Abstraction-Création,8,20th century 1900-1945,320,Surrealism
905,Christo (Christo Javacheff),415,20th century post-1945,429,Land Art,415,20th century post-1945,422,Environmental Art
905,Christo (Christo Javacheff),415,20th century post-1945,422,Environmental Art,415,20th century post-1945,434,Nouveau Réalisme
100,Edward Collier,289,16th and 17th century,406,"Netherlands-trained, working in Britain",289,16th and 17th century,413,Later Stuart
880,Lynn Chadwick,415,20th century post-1945,424,Geometry of Fear,415,20th century post-1945,12072,Kinetic Art
927,Sir William Coldstream,8,20th century 1900-1945,304,Euston Road School,8,20th century 1900-1945,10525,British War Art
2614,Jake Chapman,415,20th century post-1945,16666,Abject art,415,20th century post-1945,11857,Young British Artists (YBA)
2614,Jake Chapman,415,20th century post-1945,11857,Young British Artists (YBA),415,20th century post-1945,12072,Kinetic Art
848,Alexander Calder,8,20th century 1900-1945,298,Constructivism,415,20th century post-1945,12072,Kinetic Art
848,Alexander Calder,415,20th century post-1945,12072,Kinetic Art,8,20th century 1900-1945,16667,Abstraction-Création
917,Francesco Clemente,415,20th century post-1945,431,Neo-Expressionism,415,20th century post-1945,12069,Transavanguardia
77,Philip Hermogenes Calderon,350,19th century,8064,Victorian/Genre,350,19th century,366,St John's Wood Clique
4335,Dinos Chapman,415,20th century post-1945,11857,Young British Artists (YBA),415,20th century post-1945,12072,Kinetic Art
4335,Dinos Chapman,415,20th century post-1945,12072,Kinetic Art,415,20th century post-1945,16666,Abject art
94,Louis Chéron,289,16th and 17th century,403,"Italian-trained, working in Britain",289,16th and 17th century,401,"French-trained, working in Britain"
94,Louis Chéron,289,16th and 17th century,401,"French-trained, working in Britain",289,16th and 17th century,398,Baroque
899,Sandro Chia,415,20th century post-1945,12069,Transavanguardia,415,20th century post-1945,431,Neo-Expressionism
2214,James Collinson,350,19th century,363,Pre-Raphaelite,350,19th century,8064,Victorian/Genre
96,Sir George Clausen,350,19th century,6196,British Impressionism,8,20th century 1900-1945,10525,British War Art
96,Sir George Clausen,8,20th century 1900-1945,10525,British War Art,350,19th century,359,New English Art Club
96,Sir George Clausen,350,19th century,359,New English Art Club,350,19th century,365,Rural Naturalism
2253,Helen Chadwick,415,20th century post-1945,1680,Body Art,415,20th century post-1945,16666,Abject art
932,Robert Colquhoun,8,20th century 1900-1945,1688,British Surrealism,8,20th century 1900-1945,312,Neo-Romanticism
934,Charles Conder,350,19th century,351,Aesthetic Movement,350,19th century,16649,Symbolism
934,Charles Conder,350,19th century,16649,Symbolism,350,19th century,16650,Decadence
934,Charles Conder,350,19th century,16650,Decadence,350,19th century,16651,Fin de Siècle
930,Cecil Collins,8,20th century 1900-1945,312,Neo-Romanticism,8,20th century 1900-1945,1688,British Surrealism
126,John Crome,350,19th century,362,Norwich School,290,18th century,349,Sublime
265,William Hogarth,290,18th century,343,Modern Moral Subject,290,18th century,340,Conversation Piece
265,William Hogarth,290,18th century,340,Conversation Piece,290,18th century,346,Rococo
2580,William Hamilton,290,18th century,344,Neo-Classicism,290,18th century,340,Conversation Piece
259,Nicholas Hilliard,289,16th and 17th century,414,Tudor,289,16th and 17th century,400,Court
1280,Eva Hesse,415,20th century post-1945,430,Minimalism,415,20th century post-1945,421,Conceptual Art
1274,Dame Barbara Hepworth,8,20th century 1900-1945,321,Unit One,8,20th century 1900-1945,16667,Abstraction-Création
1274,Dame Barbara Hepworth,8,20th century 1900-1945,16667,Abstraction-Création,415,20th century post-1945,441,St Ives School
1274,Dame Barbara Hepworth,415,20th century post-1945,441,St Ives School,8,20th century 1900-1945,298,Constructivism
1274,Dame Barbara Hepworth,8,20th century 1900-1945,298,Constructivism,8,20th century 1900-1945,319,Seven and Five
1274,Dame Barbara Hepworth,8,20th century 1900-1945,319,Seven and Five,8,20th century 1900-1945,303,Direct Carving
1275,Auguste Herbin,8,20th century 1900-1945,298,Constructivism,8,20th century 1900-1945,16667,Abstraction-Création
245,Francis Hayman,290,18th century,340,Conversation Piece,290,18th century,346,Rococo
291,Jacob Huysmans,289,16th and 17th century,406,"Netherlands-trained, working in Britain",289,16th and 17th century,398,Baroque
1248,Margaret Harrison,415,20th century post-1945,16666,Abject art,415,20th century post-1945,12081,Feminist Art
1251,Hans Hartung,415,20th century post-1945,443,Tachisme,415,20th century post-1945,8454,Art Informel
1320,Douglas Huebler,415,20th century post-1945,422,Environmental Art,415,20th century post-1945,429,Land Art
1320,Douglas Huebler,415,20th century post-1945,429,Land Art,415,20th century post-1945,421,Conceptual Art
6341,Michael Heizer,415,20th century post-1945,422,Environmental Art,415,20th century post-1945,429,Land Art
1244,Richard Hamilton,415,20th century post-1945,1683,British Pop,415,20th century post-1945,425,Independent Group
1289,Roger Hilton,415,20th century post-1945,443,Tachisme,415,20th century post-1945,419,British Constructivism
1289,Roger Hilton,415,20th century post-1945,419,British Constructivism,415,20th century post-1945,441,St Ives School
2269,Rebecca Horn,415,20th century post-1945,12072,Kinetic Art,415,20th century post-1945,436,Performance Art
2269,Rebecca Horn,415,20th century post-1945,436,Performance Art,415,20th century post-1945,1680,Body Art
1278,Patrick Heron,415,20th century post-1945,441,St Ives School,415,20th century post-1945,443,Tachisme
1288,Tristram Hillier,8,20th century 1900-1945,321,Unit One,8,20th century 1900-1945,1688,British Surrealism
1291,Ivon Hitchens,8,20th century 1900-1945,319,Seven and Five,8,20th century 1900-1945,313,Objective Abstraction
1243,Cuthbert Hamilton,8,20th century 1900-1945,322,Vorticism,8,20th century 1900-1945,309,Group X
1264,Jean Hélion,8,20th century 1900-1945,311,Modern Realism,8,20th century 1900-1945,16667,Abstraction-Création
1264,Jean Hélion,8,20th century 1900-1945,16667,Abstraction-Création,8,20th century 1900-1945,298,Constructivism
